Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
11,CNN_LSTM_model,24 hours,0.84,1.77,2.4,1.63,0.84,0.24,5.76
11,CNN_LSTM_model,36 hours,0.84,1.75,2.37,1.61,0.87,0.28,5.61
11,CNN_LSTM_model,72 hours,0.82,2.87,3.35,1.57,0.53,0.19,11.23
11,CNN_LSTM_model,120 hours,0.83,2.73,3.19,1.59,0.59,0.16,10.16
267,CNN_LSTM_model,3 hours,0.0,2.61,2.61,2.0,,-inf,6.79
267,CNN_LSTM_model,6 hours,0.13,2.68,2.69,0.58,1.0,-179.25,7.21
267,CNN_LSTM_model,12 hours,0.74,1.96,2.18,1.45,0.91,-0.11,4.74
267,CNN_LSTM_model,24 hours,0.8,1.4,1.7,1.63,0.72,0.08,2.88
267,CNN_LSTM_model,36 hours,0.88,1.15,1.44,1.72,0.8,0.57,2.09
267,CNN_LSTM_model,72 hours,0.89,1.14,1.44,1.71,0.81,0.64,2.08
267,CNN_LSTM_model,120 hours,0.83,1.95,2.54,1.74,0.45,-0.28,6.44
1396,CNN_LSTM_model,3 hours,0.0,7.17,7.17,2.0,,-inf,51.37
1396,CNN_LSTM_model,6 hours,0.16,7.34,7.35,1.41,1.0,-109.12,53.96
1396,CNN_LSTM_model,12 hours,0.47,6.1,6.28,1.48,0.74,-8.07,39.5
1396,CNN_LSTM_model,24 hours,0.49,5.59,5.73,1.65,0.71,-10.5,32.79
1396,CNN_LSTM_model,36 hours,0.65,4.53,4.99,1.64,0.57,-2.92,24.86
1396,CNN_LSTM_model,72 hours,0.65,4.49,4.93,1.65,0.38,-4.99,24.29
1396,CNN_LSTM_model,120 hours,0.7,5.81,6.37,1.69,0.47,-3.74,40.63
1075,CNN_LSTM_model,3 hours,0.0,5.69,5.69,2.0,,-inf,32.36
1075,CNN_LSTM_model,6 hours,0.0,5.5,5.5,0.22,,-inf,30.25
1075,CNN_LSTM_model,12 hours,0.71,3.97,4.3,1.73,1.0,-0.31,18.53
1075,CNN_LSTM_model,24 hours,0.81,2.42,3.11,1.71,0.82,0.06,9.7
1075,CNN_LSTM_model,36 hours,0.87,1.91,2.61,1.72,0.85,0.38,6.83
1075,CNN_LSTM_model,72 hours,0.89,1.54,2.06,1.75,0.77,0.56,4.26
1075,CNN_LSTM_model,120 hours,0.85,2.41,3.17,1.76,0.48,-0.19,10.05
563,CNN_A_model,3 hours,0.0,0.52,0.52,2.0,,-inf,0.27
563,CNN_A_model,6 hours,0.11,1.03,1.15,1.15,1.0,-532.03,1.33
563,CNN_A_model,12 hours,0.88,1.15,1.21,1.79,0.97,0.88,1.47
563,CNN_A_model,24 hours,0.87,1.5,1.74,1.76,0.91,0.74,3.03
563,CNN_A_model,36 hours,0.85,1.88,2.09,1.79,0.89,0.63,4.36
563,CNN_A_model,72 hours,0.85,2.06,2.27,1.79,0.91,0.52,5.14
563,CNN_A_model,120 hours,0.87,1.71,1.99,1.78,0.89,0.61,3.95
651,CNN_A_model,3 hours,0.0,2.46,2.46,2.0,,-inf,6.06
651,CNN_A_model,6 hours,0.1,1.93,2.0,1.22,1.0,-400.6,4.02
651,CNN_A_model,12 hours,0.82,1.43,1.56,1.81,0.99,0.66,2.44
651,CNN_A_model,24 hours,0.83,1.58,1.72,1.78,0.97,0.57,2.96
651,CNN_A_model,36 hours,0.82,2.13,2.48,1.78,0.92,0.38,6.13
651,CNN_A_model,72 hours,0.87,1.94,2.53,1.77,0.82,0.49,6.42
651,CNN_A_model,120 hours,0.86,1.99,2.53,1.78,0.62,0.33,6.4
175,CNN_A_model,3 hours,0.0,8.46,8.46,2.0,,-inf,71.49
175,CNN_A_model,6 hours,0.05,6.68,6.91,1.66,-1.0,-2123.91,47.81
175,CNN_A_model,12 hours,0.09,4.3,5.08,1.78,-0.47,-1527.72,25.8
175,CNN_A_model,24 hours,0.67,3.91,4.53,1.79,0.57,-4.17,20.52
175,CNN_A_model,36 hours,0.79,2.69,3.7,1.78,0.45,-1.2,13.71
175,CNN_A_model,72 hours,0.84,2.1,2.88,1.78,0.65,-0.27,8.31
