Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
614,CNN_A_model,36 hours,0.87,1.45,1.83,1.79,0.79,0.57,3.35
614,CNN_A_model,72 hours,0.87,1.63,1.94,1.8,0.82,0.61,3.76
614,CNN_A_model,120 hours,0.88,1.49,1.83,1.8,0.81,0.6,3.34
687,CNN_A_model,3 hours,0.0,1.03,1.03,2.0,,-inf,1.06
687,CNN_A_model,6 hours,0.77,0.89,0.9,1.75,1.0,0.61,0.81
687,CNN_A_model,12 hours,0.9,0.59,0.67,1.77,0.99,0.88,0.45
687,CNN_A_model,24 hours,0.89,0.9,1.05,1.77,0.94,0.84,1.11
687,CNN_A_model,36 hours,0.9,0.87,1.04,1.76,0.94,0.82,1.08
687,CNN_A_model,72 hours,0.91,0.98,1.2,1.77,0.94,0.84,1.45
687,CNN_A_model,120 hours,0.91,1.1,1.39,1.78,0.93,0.83,1.93
438,CNN_A_model,3 hours,0.0,0.08,0.08,2.0,,-inf,0.01
438,CNN_A_model,6 hours,0.74,1.36,1.86,1.11,1.0,-0.77,3.46
438,CNN_A_model,12 hours,0.85,1.09,1.46,1.73,0.89,0.53,2.14
438,CNN_A_model,24 hours,0.9,0.76,1.1,1.77,0.92,0.71,1.2
438,CNN_A_model,36 hours,0.89,0.93,1.35,1.77,0.89,0.48,1.82
438,CNN_A_model,72 hours,0.83,1.52,2.13,1.78,0.73,-0.75,4.52
438,CNN_A_model,120 hours,0.88,1.13,1.7,1.77,0.82,0.23,2.89
1026,CNN_A_model,3 hours,0.0,0.6,0.6,2.0,,-inf,0.36
1026,CNN_A_model,6 hours,0.24,0.65,0.65,0.02,1.0,-41.43,0.42
1026,CNN_A_model,12 hours,0.81,0.85,1.11,1.7,0.96,0.27,1.24
1026,CNN_A_model,24 hours,0.79,1.25,1.42,1.78,0.91,0.26,2.03
1026,CNN_A_model,36 hours,0.79,1.26,1.54,1.78,0.86,0.03,2.37
1026,CNN_A_model,72 hours,0.85,1.06,1.35,1.77,0.88,0.35,1.82
1026,CNN_A_model,120 hours,0.86,1.24,1.65,1.78,0.81,0.24,2.73
543,CNN_A_model,3 hours,0.0,5.39,5.39,2.0,,-inf,29.1
543,CNN_A_model,6 hours,0.75,3.25,3.89,1.47,1.0,0.16,15.16
543,CNN_A_model,12 hours,0.85,2.01,2.84,1.6,0.94,0.5,8.06
543,CNN_A_model,24 hours,0.86,2.04,2.66,1.7,0.96,0.61,7.1
543,CNN_A_model,36 hours,0.86,2.28,2.97,1.71,0.96,0.59,8.84
543,CNN_A_model,72 hours,0.9,1.63,2.27,1.76,0.92,0.71,5.16
543,CNN_A_model,120 hours,0.88,1.84,2.29,1.78,0.9,0.67,5.23
319,CNN_A_model,3 hours,0.0,4.72,4.72,2.0,,-inf,22.28
319,CNN_A_model,6 hours,0.49,4.03,4.09,1.55,1.0,-3.64,16.75
319,CNN_A_model,12 hours,0.79,2.4,2.96,1.62,0.98,0.1,8.77
319,CNN_A_model,24 hours,0.83,1.91,2.38,1.71,0.93,0.39,5.66
319,CNN_A_model,36 hours,0.82,2.1,2.58,1.68,0.93,0.26,6.64
319,CNN_A_model,72 hours,0.87,1.68,2.18,1.69,0.88,0.5,4.75
319,CNN_A_model,120 hours,0.84,2.2,2.87,1.65,0.82,0.22,8.22
1182,CNN_A_model,3 hours,0.0,4.78,4.78,2.0,,-inf,22.84
1182,CNN_A_model,6 hours,0.0,4.36,4.38,0.93,,-inf,19.2
1182,CNN_A_model,12 hours,0.43,2.49,3.14,1.8,0.94,-43.21,9.84
1182,CNN_A_model,24 hours,0.62,1.76,2.39,1.79,0.79,-11.13,5.72
1182,CNN_A_model,36 hours,0.79,1.55,2.08,1.79,0.72,-1.33,4.34
1182,CNN_A_model,72 hours,0.86,2.3,2.88,1.76,0.62,0.27,8.31
1182,CNN_A_model,120 hours,0.87,2.12,2.64,1.77,0.66,0.4,6.97
351,LSTM_A_model,3 hours,0.0,3.85,3.85,2.0,,-inf,14.84
351,LSTM_A_model,6 hours,0.55,2.95,3.09,1.39,1.0,-2.11,9.52
351,LSTM_A_model,12 hours,0.74,2.57,2.68,1.73,0.98,0.03,7.16
351,LSTM_A_model,24 hours,0.8,2.32,2.6,1.73,0.95,0.38,6.77
351,LSTM_A_model,36 hours,0.82,2.48,2.86,1.74,0.68,0.43,8.2
351,LSTM_A_model,72 hours,0.87,1.77,2.35,1.75,0.7,0.49,5.52
351,LSTM_A_model,120 hours,0.9,1.4,1.94,1.75,0.76,0.57,3.76
783,LSTM_A_model,3 hours,0.0,3.03,3.03,2.0,,-inf,9.15
783,LSTM_A_model,6 hours,0.76,1.97,2.23,1.44,1.0,0.41,4.99
783,LSTM_A_model,12 hours,0.89,1.23,1.62,1.77,0.93,0.79,2.62
783,LSTM_A_model,24 hours,0.89,1.3,1.62,1.77,0.95,0.81,2.62
783,LSTM_A_model,36 hours,0.89,1.31,1.72,1.77,0.94,0.78,2.97
783,LSTM_A_model,72 hours,0.9,1.31,1.76,1.77,0.94,0.78,3.09
783,LSTM_A_model,120 hours,0.9,1.37,1.82,1.77,0.87,0.73,3.3
199,LSTM_A_model,3 hours,0.0,1.95,1.95,2.0,,-inf,3.81
199,LSTM_A_model,6 hours,0.51,1.89,1.89,1.44,1.0,-2.58,3.58
199,LSTM_A_model,12 hours,0.84,1.31,1.44,1.72,0.99,0.69,2.07
199,LSTM_A_model,24 hours,0.87,1.1,1.28,1.73,0.98,0.79,1.63
199,LSTM_A_model,36 hours,0.88,1.08,1.3,1.73,0.97,0.8,1.69
199,LSTM_A_model,72 hours,0.87,1.34,1.64,1.73,0.79,0.6,2.71
199,LSTM_A_model,120 hours,0.88,1.26,1.51,1.73,0.81,0.65,2.29
614,LSTM_A_model,3 hours,0.0,0.98,0.98,2.0,,-inf,0.96
614,LSTM_A_model,6 hours,0.69,2.44,2.85,1.12,-1.0,-0.41,8.11
614,LSTM_A_model,12 hours,0.77,2.24,2.56,1.71,0.71,0.06,6.57
614,LSTM_A_model,24 hours,0.85,1.48,1.89,1.78,0.79,0.36,3.57
614,LSTM_A_model,36 hours,0.84,1.87,2.27,1.78,0.74,0.33,5.15
614,LSTM_A_model,72 hours,0.88,1.54,1.94,1.78,0.79,0.61,3.77
614,LSTM_A_model,120 hours,0.88,1.51,2.02,1.79,0.76,0.52,4.07
687,LSTM_A_model,3 hours,0.0,0.3,0.3,2.0,,-inf,0.09
687,LSTM_A_model,6 hours,0.79,0.88,1.06,1.4,1.0,0.46,1.13
687,LSTM_A_model,12 hours,0.89,0.7,0.85,1.76,0.95,0.82,0.72
687,LSTM_A_model,24 hours,0.89,0.91,1.06,1.76,0.92,0.84,1.13
687,LSTM_A_model,36 hours,0.9,0.87,1.04,1.75,0.91,0.82,1.08
687,LSTM_A_model,72 hours,0.9,1.11,1.34,1.75,0.91,0.8,1.8
687,LSTM_A_model,120 hours,0.9,1.24,1.59,1.75,0.92,0.77,2.54
438,LSTM_A_model,3 hours,0.0,0.47,0.47,2.0,,-inf,0.23
438,LSTM_A_model,6 hours,0.68,1.64,2.01,0.42,1.0,-1.07,4.05
438,LSTM_A_model,12 hours,0.8,1.54,1.96,1.74,0.85,0.15,3.82
438,LSTM_A_model,24 hours,0.85,1.21,1.55,1.78,0.89,0.43,2.39
438,LSTM_A_model,36 hours,0.83,1.42,1.8,1.78,0.87,0.08,3.25
438,LSTM_A_model,72 hours,0.81,1.7,2.22,1.78,0.78,-0.9,4.91
