Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
7816,CNN_LSTM_model,6 hours,0.66,8.66,9.62,1.89,0.66,-2.03,92.46
7816,CNN_LSTM_model,12 hours,0.72,6.96,7.95,1.94,0.52,-1.4,63.21
7816,CNN_LSTM_model,24 hours,0.83,7.27,8.04,1.98,0.88,0.27,64.57
7816,CNN_LSTM_model,36 hours,0.7,18.17,24.5,1.98,0.38,-6.4,600.45
7816,CNN_LSTM_model,72 hours,0.78,21.43,27.83,1.98,0.5,-2.04,774.29
7816,CNN_LSTM_model,120 hours,0.84,21.69,27.21,1.98,0.44,-0.06,740.66
2865,CNN_LSTM_model,3 hours,0.0,2.79,3.25,1.8,,-inf,10.57
2865,CNN_LSTM_model,6 hours,0.47,3.98,4.34,1.85,0.68,-14.38,18.8
2865,CNN_LSTM_model,12 hours,0.64,5.73,6.48,1.94,0.94,-2.97,41.98
2865,CNN_LSTM_model,24 hours,0.58,20.01,25.7,1.97,-0.52,-18.09,660.59
2865,CNN_LSTM_model,36 hours,0.48,28.95,34.26,1.98,-0.31,-47.83,1173.55
2865,CNN_LSTM_model,72 hours,0.61,59.79,71.5,1.99,-0.61,-13.02,5112.47
2865,CNN_LSTM_model,120 hours,0.67,133.42,166.53,1.99,-0.74,-3.93,27733.69
6786,CNN_A_model,3 hours,0.34,6.93,7.52,1.85,-0.2,-27.24,56.49
6786,CNN_A_model,6 hours,0.7,9.13,9.74,1.93,0.92,-0.78,94.95
6786,CNN_A_model,12 hours,0.8,14.59,15.81,1.97,0.99,0.31,250.01
6786,CNN_A_model,24 hours,0.79,21.38,23.09,1.98,0.94,0.15,533.11
6786,CNN_A_model,36 hours,0.72,32.82,37.33,1.99,0.72,-1.83,1393.33
6786,CNN_A_model,72 hours,0.67,46.46,54.66,1.99,0.33,-5.01,2987.25
6786,CNN_A_model,120 hours,0.75,54.2,64.37,1.99,0.14,-2.77,4143.03
3772,CNN_A_model,3 hours,0.16,2.76,2.82,1.59,0.89,-141.67,7.93
3772,CNN_A_model,6 hours,0.41,5.11,5.71,1.91,0.98,-26.1,32.56
3772,CNN_A_model,12 hours,0.63,9.11,10.25,1.96,0.99,-4.0,105.02
3772,CNN_A_model,24 hours,0.66,21.03,25.1,1.98,0.52,-6.3,629.92
3772,CNN_A_model,36 hours,0.58,35.15,42.1,1.98,-0.19,-7.67,1772.61
3772,CNN_A_model,72 hours,0.45,63.45,71.6,1.99,-0.21,-30.39,5126.93
3772,CNN_A_model,120 hours,0.48,95.58,107.41,1.99,-0.53,-45.2,11536.39
986,CNN_A_model,3 hours,0.48,1.97,2.59,1.83,0.37,-29.16,6.7
986,CNN_A_model,6 hours,0.79,2.55,2.95,1.88,0.88,0.22,8.7
986,CNN_A_model,12 hours,0.92,3.23,3.75,1.97,0.99,0.9,14.08
986,CNN_A_model,24 hours,0.93,5.12,5.87,1.98,0.98,0.94,34.46
986,CNN_A_model,36 hours,0.92,6.54,7.43,1.98,0.94,0.88,55.15
986,CNN_A_model,72 hours,0.81,19.35,25.31,1.99,0.72,-0.26,640.41
986,CNN_A_model,120 hours,0.71,36.47,44.87,1.99,0.44,-3.21,2012.91
2527,CNN_A_model,3 hours,0.27,2.89,3.08,1.62,-0.25,-41.76,9.5
2527,CNN_A_model,6 hours,0.59,3.64,3.81,1.87,0.95,-3.62,14.5
2527,CNN_A_model,12 hours,0.88,2.83,3.15,1.94,0.99,0.8,9.91
2527,CNN_A_model,24 hours,0.87,5.95,7.79,1.98,0.94,0.58,60.7
2527,CNN_A_model,36 hours,0.82,9.2,11.32,1.98,0.91,-0.0,128.05
2527,CNN_A_model,72 hours,0.66,26.74,34.0,1.99,0.42,-11.18,1156.19
2527,CNN_A_model,120 hours,0.64,44.08,52.82,1.99,0.3,-12.71,2790.15
3801,CNN_A_model,3 hours,0.0,6.75,6.75,1.17,,-inf,45.63
3801,CNN_A_model,6 hours,0.29,7.54,7.65,1.86,0.98,-42.85,58.47
3801,CNN_A_model,12 hours,0.61,9.66,9.96,1.95,0.99,-2.71,99.14
3801,CNN_A_model,24 hours,0.63,11.64,12.0,1.95,0.91,-2.4,144.06
3801,CNN_A_model,36 hours,0.65,14.45,15.2,1.96,0.89,-3.22,231.11
3801,CNN_A_model,72 hours,0.55,30.23,36.34,1.98,0.36,-20.82,1320.93
3801,CNN_A_model,120 hours,0.64,82.26,109.16,1.99,-0.84,-10.89,11915.52
131,CNN_A_model,3 hours,0.6,3.44,3.6,1.86,0.9,-1.78,12.99
131,CNN_A_model,6 hours,0.84,4.85,5.14,1.96,0.99,0.68,26.39
131,CNN_A_model,12 hours,0.9,7.55,8.11,1.98,1.0,0.88,65.75
131,CNN_A_model,24 hours,0.92,9.33,10.42,1.99,1.0,0.89,108.6
131,CNN_A_model,36 hours,0.92,9.26,10.25,1.99,1.0,0.89,105.02
131,CNN_A_model,72 hours,0.86,17.76,20.63,1.99,0.94,0.55,425.67
131,CNN_A_model,120 hours,0.79,28.54,33.65,1.99,0.77,-0.51,1132.66
1137,CNN_A_model,3 hours,0.39,5.06,5.41,1.9,0.97,-13.63,29.27
1137,CNN_A_model,6 hours,0.68,6.37,6.65,1.95,0.98,-0.82,44.24
1137,CNN_A_model,12 hours,0.84,7.24,7.43,1.97,1.0,0.65,55.16
1137,CNN_A_model,24 hours,0.86,8.73,9.01,1.98,0.99,0.72,81.23
1137,CNN_A_model,36 hours,0.8,13.96,16.01,1.98,0.89,-0.11,256.29
1137,CNN_A_model,72 hours,0.73,22.29,24.6,1.98,0.9,-1.53,604.91
1137,CNN_A_model,120 hours,0.69,29.24,31.77,1.99,0.91,-2.95,1009.38
5731,CNN_A_model,3 hours,0.24,3.8,4.1,1.76,-0.17,-74.46,16.77
5731,CNN_A_model,6 hours,0.86,2.44,3.04,1.95,0.97,0.66,9.22
5731,CNN_A_model,12 hours,0.94,3.12,3.52,1.98,1.0,0.96,12.4
5731,CNN_A_model,24 hours,0.94,5.07,5.84,1.99,0.99,0.95,34.08
5731,CNN_A_model,36 hours,0.92,6.78,7.86,1.99,0.99,0.88,61.84
5731,CNN_A_model,72 hours,0.92,9.3,11.81,1.99,0.96,0.8,139.39
5731,CNN_A_model,120 hours,0.86,17.66,23.1,1.99,0.71,0.02,533.71
7816,CNN_A_model,3 hours,0.58,2.98,3.05,1.81,0.93,-2.22,9.3
7816,CNN_A_model,6 hours,0.76,5.1,5.69,1.9,0.96,-0.06,32.42
7816,CNN_A_model,12 hours,0.78,4.72,5.3,1.94,0.62,-0.07,28.08
7816,CNN_A_model,24 hours,0.89,4.29,5.13,1.97,0.9,0.7,26.28
7816,CNN_A_model,36 hours,0.79,10.71,14.47,1.98,0.55,-1.58,209.49
7816,CNN_A_model,72 hours,0.8,17.42,20.82,1.98,0.81,-0.7,433.36
7816,CNN_A_model,120 hours,0.84,22.12,25.95,1.99,0.84,0.03,673.26
2865,CNN_A_model,3 hours,0.0,3.81,4.17,1.81,,-inf,17.43
2865,CNN_A_model,6 hours,0.39,5.4,5.77,1.87,0.72,-26.24,33.29
2865,CNN_A_model,12 hours,0.56,7.9,8.77,1.95,0.95,-6.27,76.87
2865,CNN_A_model,24 hours,0.54,22.23,27.23,1.97,-0.42,-20.42,741.23
2865,CNN_A_model,36 hours,0.45,31.15,36.08,1.98,-0.23,-53.15,1301.47
2865,CNN_A_model,72 hours,0.59,65.37,78.09,1.99,-0.66,-15.72,6097.81
2865,CNN_A_model,120 hours,0.65,145.76,182.48,1.99,-0.86,-4.92,33299.26
6786,LSTM_A_model,3 hours,0.23,10.64,10.88,1.72,-0.52,-58.15,118.29
6786,LSTM_A_model,6 hours,0.59,14.52,15.17,1.9,0.92,-3.32,230.03
6786,LSTM_A_model,12 hours,0.73,21.55,23.09,1.97,0.99,-0.47,533.13
6786,LSTM_A_model,24 hours,0.73,28.81,30.56,1.98,0.98,-0.49,934.17
6786,LSTM_A_model,36 hours,0.67,40.76,45.46,1.98,0.57,-3.2,2066.45
6786,LSTM_A_model,72 hours,0.64,53.46,62.05,1.98,0.04,-6.75,3850.19
6786,LSTM_A_model,120 hours,0.73,60.23,71.39,1.99,-0.21,-3.63,5095.87
3772,LSTM_A_model,3 hours,0.08,6.04,6.04,1.14,0.51,-656.74,36.54
3772,LSTM_A_model,6 hours,0.29,7.75,8.06,1.9,0.99,-53.03,64.91
3772,LSTM_A_model,12 hours,0.51,16.21,18.92,1.98,1.0,-16.03,358.05
3772,LSTM_A_model,24 hours,0.58,27.49,30.55,1.98,0.75,-9.81,933.0
3772,LSTM_A_model,36 hours,0.55,36.43,40.7,1.98,0.35,-7.11,1656.85
3772,LSTM_A_model,72 hours,0.47,51.95,56.24,1.98,0.24,-18.36,3163.08
3772,LSTM_A_model,120 hours,0.55,66.29,72.78,1.98,-0.25,-20.21,5297.37
986,LSTM_A_model,3 hours,0.08,11.7,11.79,1.71,-0.6,-624.83,139.07
986,LSTM_A_model,6 hours,0.47,10.35,10.49,1.86,0.88,-8.88,110.07
986,LSTM_A_model,12 hours,0.76,10.8,10.89,1.97,0.99,0.12,118.66
986,LSTM_A_model,24 hours,0.88,9.75,10.33,1.98,0.97,0.81,106.68
986,LSTM_A_model,36 hours,0.86,11.6,12.34,1.98,0.96,0.68,152.25
986,LSTM_A_model,72 hours,0.82,16.08,18.41,1.98,0.9,0.33,338.91
986,LSTM_A_model,120 hours,0.79,21.14,24.59,1.98,0.81,-0.26,604.81
2527,LSTM_A_model,3 hours,0.16,5.32,5.46,1.64,-0.67,-133.29,29.84
2527,LSTM_A_model,6 hours,0.46,6.03,6.14,1.78,0.76,-11.02,37.72
2527,LSTM_A_model,12 hours,0.83,4.44,4.97,1.96,0.99,0.5,24.68
2527,LSTM_A_model,24 hours,0.92,3.42,4.02,1.98,0.99,0.89,16.13
2527,LSTM_A_model,36 hours,0.86,6.85,8.89,1.97,0.86,0.38,78.99
2527,LSTM_A_model,72 hours,0.83,9.48,12.71,1.98,0.63,-0.7,161.45
2527,LSTM_A_model,120 hours,0.82,15.63,21.54,1.98,0.04,-1.28,464.03
