Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
1464,CNN_A_model,3 hours,0.74,1.48,1.58,1.9,0.99,0.3,2.5
1464,CNN_A_model,6 hours,0.97,1.26,1.4,1.98,1.0,0.99,1.96
1464,CNN_A_model,12 hours,0.93,5.43,7.76,1.98,0.98,0.91,60.27
1464,CNN_A_model,24 hours,0.92,6.26,7.54,1.98,0.98,0.89,56.86
1464,CNN_A_model,36 hours,0.91,8.04,10.07,1.98,0.96,0.82,101.51
1464,CNN_A_model,72 hours,0.87,14.3,16.47,1.99,0.94,0.47,271.37
1464,CNN_A_model,120 hours,0.9,13.96,15.82,1.99,0.96,0.73,250.3
6271,CNN_A_model,3 hours,0.94,1.9,2.14,1.97,1.0,0.97,4.59
6271,CNN_A_model,6 hours,0.96,3.12,3.86,1.99,1.0,0.98,14.88
6271,CNN_A_model,12 hours,0.93,10.09,12.81,1.99,1.0,0.91,164.19
6271,CNN_A_model,24 hours,0.89,15.31,17.18,1.99,0.98,0.8,295.27
6271,CNN_A_model,36 hours,0.89,18.01,19.67,1.99,0.99,0.79,387.09
6271,CNN_A_model,72 hours,0.84,25.95,28.02,1.99,0.97,0.53,785.18
6271,CNN_A_model,120 hours,0.8,37.55,42.71,1.99,0.89,-0.2,1824.13
3839,CNN_A_model,3 hours,0.77,1.43,1.9,1.53,0.99,-0.02,3.61
3839,CNN_A_model,6 hours,0.78,6.54,8.56,1.85,0.99,-0.24,73.29
3839,CNN_A_model,12 hours,0.68,13.26,15.39,1.81,0.79,-1.86,236.9
3839,CNN_A_model,24 hours,0.58,23.12,26.13,1.96,-0.07,-10.3,682.83
3839,CNN_A_model,36 hours,0.51,31.3,34.87,1.98,0.05,-27.75,1215.77
3839,CNN_A_model,72 hours,0.62,80.0,98.64,1.99,-0.91,-9.8,9729.76
3839,CNN_A_model,120 hours,0.51,126.37,145.62,1.99,-0.67,-22.25,21204.53
2209,CNN_A_model,3 hours,0.52,3.66,3.66,1.82,1.0,-3.64,13.39
2209,CNN_A_model,6 hours,0.74,3.57,3.59,1.92,1.0,0.19,12.88
2209,CNN_A_model,12 hours,0.83,2.19,2.61,1.91,0.93,0.38,6.8
2209,CNN_A_model,24 hours,0.82,2.74,3.41,1.93,0.8,0.2,11.65
2209,CNN_A_model,36 hours,0.86,5.19,6.71,1.96,0.87,-0.15,44.97
2209,CNN_A_model,72 hours,0.88,10.03,14.77,1.98,0.76,0.31,218.02
2209,CNN_A_model,120 hours,0.76,36.04,51.12,1.99,0.22,-5.49,2613.5
7114,CNN_A_model,3 hours,0.86,2.51,3.06,1.95,1.0,0.73,9.39
7114,CNN_A_model,6 hours,0.88,6.28,7.5,1.98,1.0,0.78,56.2
7114,CNN_A_model,12 hours,0.84,9.95,11.15,1.98,1.0,0.59,124.26
7114,CNN_A_model,24 hours,0.84,9.93,10.64,1.98,0.99,0.47,113.28
7114,CNN_A_model,36 hours,0.82,10.84,11.6,1.98,0.99,0.36,134.54
7114,CNN_A_model,72 hours,0.72,22.0,26.16,1.98,0.53,-2.23,684.1
7114,CNN_A_model,120 hours,0.75,30.64,35.79,1.97,0.4,-2.33,1280.99
8072,CNN_A_model,3 hours,0.74,7.21,7.43,1.95,1.0,0.32,55.17
8072,CNN_A_model,6 hours,0.91,6.76,6.9,1.99,1.0,0.92,47.64
8072,CNN_A_model,12 hours,0.92,9.26,10.29,1.99,0.99,0.92,105.89
8072,CNN_A_model,24 hours,0.87,14.4,15.72,1.99,0.98,0.73,247.11
8072,CNN_A_model,36 hours,0.83,22.9,27.2,1.99,0.9,0.21,739.96
8072,CNN_A_model,72 hours,0.73,42.2,51.16,1.99,0.56,-2.66,2617.67
8072,CNN_A_model,120 hours,0.69,59.67,73.59,1.99,0.04,-6.54,5416.1
1439,LSTM_A_model,3 hours,0.66,4.86,6.27,1.95,0.96,-3.12,39.36
1439,LSTM_A_model,6 hours,0.92,4.42,5.66,1.98,0.98,0.9,32.05
1439,LSTM_A_model,12 hours,0.89,9.29,10.87,1.99,0.99,0.85,118.11
1439,LSTM_A_model,24 hours,0.8,19.58,22.99,1.99,0.89,0.03,528.75
1439,LSTM_A_model,36 hours,0.79,20.42,23.07,1.99,0.91,0.11,532.24
1439,LSTM_A_model,72 hours,0.78,23.37,26.37,1.99,0.88,-0.34,695.41
1439,LSTM_A_model,120 hours,0.84,19.89,23.46,1.99,0.71,0.28,550.29
4124,LSTM_A_model,3 hours,0.76,3.83,3.92,1.94,0.99,0.38,15.4
4124,LSTM_A_model,6 hours,0.94,2.27,2.88,1.97,0.99,0.95,8.29
4124,LSTM_A_model,12 hours,0.94,2.63,3.07,1.97,0.99,0.95,9.42
4124,LSTM_A_model,24 hours,0.84,9.75,12.97,1.98,0.91,0.16,168.12
4124,LSTM_A_model,36 hours,0.87,7.92,11.0,1.98,0.91,0.4,121.09
4124,LSTM_A_model,72 hours,0.77,18.41,26.84,1.99,0.49,-3.59,720.28
4124,LSTM_A_model,120 hours,0.71,26.71,37.92,1.99,0.05,-8.0,1437.88
8309,LSTM_A_model,3 hours,0.48,27.73,28.19,1.94,0.97,-6.63,794.69
8309,LSTM_A_model,6 hours,0.71,26.45,26.78,1.98,0.98,-0.55,717.31
8309,LSTM_A_model,12 hours,0.82,23.67,24.16,1.99,0.99,0.56,583.76
8309,LSTM_A_model,24 hours,0.8,25.59,26.09,1.99,0.99,0.36,680.91
8309,LSTM_A_model,36 hours,0.76,33.44,35.53,1.99,0.93,-0.17,1262.32
8309,LSTM_A_model,72 hours,0.71,48.31,51.41,1.99,0.85,-1.63,2642.51
8309,LSTM_A_model,120 hours,0.7,49.44,51.64,1.99,0.88,-1.86,2667.04
4357,LSTM_A_model,3 hours,0.07,25.29,25.3,1.39,0.51,-958.96,639.97
4357,LSTM_A_model,6 hours,0.41,31.39,32.23,1.52,0.1,-18.3,1038.56
4357,LSTM_A_model,12 hours,0.58,45.38,47.88,1.95,0.95,-3.79,2292.91
4357,LSTM_A_model,24 hours,0.52,67.61,72.87,1.97,0.03,-7.73,5310.4
4357,LSTM_A_model,36 hours,0.56,88.76,96.3,1.98,-0.37,-11.22,9272.83
4357,LSTM_A_model,72 hours,0.52,125.02,133.24,1.98,-0.52,-14.26,17753.65
